"SYMBOL","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","DELIV_PER","DELIV_LACS","DATE"
"M&M","797.7","784.23","8634396","35.3","23900","20210518"
"SAIL","131.95","133.47","66676999","24.51","21810","20210518"
"MARUTI","6811.1","6798.4","805827","38.33","20998","20210518"
"FEDERALBNK","84.35","84.87","84550492","17.57","12605","20210518"
"ULTRACEMCO","6653.0","6624.48","451024","37.64","11245","20210518"
"BHEL","71.75","72.09","76124575","20.21","11092","20210518"
"PNB","37.35","37.7","91471489","29.73","10251","20210518"
"DMART","3056.3","3003.81","1022329","32.36","9937","20210518"
"MOTHERSUMI","242.25","244.47","16328735","22.8","9100","20210518"
"MUTHOOTFIN","1268.3","1261.43","2086320","33.53","8824","20210518"
"BAJAJFINSV","11396.8","11452.2","403959","18.48","8548","20210518"
"IDFCFIRSTB","56.05","56.43","43106124","31.94","7769","20210518"
"APOLLOHOSP","3163.5","3160.41","639445","35.56","7186","20210518"
"YESBANK","13.35","13.35","82571190","47.16","5198","20210518"
"BATAINDIA","1450.8","1436.22","944888","37.19","5046","20210518"
"TRENT","828.3","819.29","2275063","18.77","3498","20210518"
"3IINFOTECH","9.25","9.35","107190991","31.98","3205","20210518"
"LALPATHLAB","2796.35","2786.75","389732","26.72","2902","20210518"
"IDEA","8.55","8.6","70097530","39.58","2385","20210518"
"EQUITASBNK","55.5","55.72","3465775","94.87","1831","20210518"
"MAN50ETF","154.77","154.24","621379","99.46","953","20210518"
"JKCEMENT","2807.85","2776.21","47850","69.46","922","20210518"
"NH","427.75","433.47","299319","54.71","709","20210518"
"RELAXO","917.85","909.34","171986","44.79","700","20210518"
"ICICITECH","260.83","260.93","264565","95.16","656","20210518"
"KKCL","909.05","900.7","56864","97.59","499","20210518"
"METROPOLIS","2356.95","2343.63","37637","52.42","462","20210518"
"MAESGETF","25.64","25.65","1549774","99.44","395","20210518"
"MANXT50","365.36","364.32","53706","99.59","194","20210518"
"EBBETF0425","1045.81","1045.94","18281","98.44","188","20210518"
"NETFNIF100","157.33","156.56","101600","99.72","158","20210518"
"NAHARSPING","132.4","131.89","118533","90.65","141","20210518"
"TATAMOTORS","314.45","316.24","119407026","16.8","63432","20210519"
"TATASTEEL","1164.25","1171.83","17435026","27.65","56487","20210519"
"BHARTIARTL","528.2","531.4","19223054","52.83","53964","20210519"
"SBIN","384.4","385.63","48189573","28.13","52277","20210519"
"AXISBANK","716.8","713.66","20244016","35.12","50732","20210519"
"COFORGE","3277.75","3299.24","3480261","43.99","50504","20210519"
"RELIANCE","1997.05","1998.55","7530294","30.68","46169","20210519"
"ADANIENT","1294.7","1311.78","9925284","31.47","40976","20210519"
"HDFCBANK","1458.2","1463.16","5065458","53.84","39901","20210519"
"ICICIBANK","625.45","628.05","13911576","44.19","38613","20210519"
"TCS","3082.0","3095.03","1986041","62.64","38504","20210519"
"BAJFINANCE","5631.2","5648.15","2250906","22.57","28695","20210519"
"INFY","1337.0","1344.41","4435878","47.32","28222","20210519"
"ITC","207.75","208.6","24405319","54.39","27688","20210519"
"HDFC","2459.85","2481.22","2031903","52.59","26514","20210519"
"KOTAKBANK","1730.55","1736.15","2372042","60.73","25009","20210519"
"ATGL","1326.15","1321.72","2900348","62.54","23976","20210519"
"PNB","36.2","36.34","154514444","41.35","23216","20210519"
"BHEL","73.75","72.42","105322060","20.27","15457","20210519"
"LIQUIDBEES","999.99","999.99","1357122","92.55","12559","20210519"
"IOC","107.2","106.89","74174684","15.02","11909","20210519"
"ULTRACEMCO","6561.2","6665.67","475946","33.78","10717","20210519"
"MARUTI","6775.9","6796.41","432774","34.16","10046","20210519"
"DMART","3027.9","3043.81","683428","44.54","9265","20210519"
"M&M","784.8","784.33","4360320","26.64","9109","20210519"
"BANKBARODA","76.7","77.1","54818016","20.2","8538","20210519"
"APOLLOHOSP","3229.7","3206.8","711069","25.63","5844","20210519"
"HONAUT","42499.35","42507.66","12153","94.75","4894","20210519"
"YESBANK","13.3","13.3","87038860","40.75","4716","20210519"
"LALPATHLAB","2810.55","2826.72","467401","34.16","4513","20210519"
"MOTHERSUMI","242.65","242.17","9040629","18.86","4128","20210519"
"TRENT","819.45","833.25","1855576","24.58","3800","20210519"
"SIS","396.7","395.61","990524","90.82","3558","20210519"
"BATAINDIA","1474.85","1478.87","1340980","16.09","3191","20210519"
"IDEA","8.45","8.53","87317836","41.96","3125","20210519"
"BAJAJFINSV","11215.15","11269.66","227567","12.16","3118","20210519"
"MUTHOOTFIN","1264.45","1266.72","624657","38.2","3022","20210519"
"RPOWER","7.0","7.1","100621785","41.6","2972","20210519"
"RELAXO","1011.95","990.63","2137537","13.86","2935","20210519"
"IDFCFIRSTB","55.55","55.7","18399737","28.51","2921","20210519"
"3IINFOTECH","8.8","8.88","69560776","37.09","2291","20210519"
"N100","951.29","952.06","240246","88.49","2024","20210519"
"JKCEMENT","2846.2","2864.15","69240","77.93","1545","20210519"
"METROPOLIS","2318.5","2330.11","71715","80.9","1351","20210519"
"SUNCLAYLTD","3081.6","3098.3","24739","92.4","708","20210519"
"MAFANG","46.18","46.59","807266","87.23","328","20210519"
"NH","439.25","437.48","182088","31.12","247","20210519"
"NAHARSPING","139.0","138.2","183097","89.1","225","20210519"
"THOMASCOOK","52.6","52.6","336267","97.9","173","20210519"
"KOTAKNIFTY","156.95","157.32","113733","92.38","165","20210519"
"TATASTEEL","1105.05","1113.32","28446253","24.21","76658","20210520"
"AXISBANK","705.9","710.01","18840413","53.37","71398","20210520"
"SBIN","384.55","384.42","42898608","29.54","48710","20210520"
"TCS","3060.0","3065.96","2329027","64.93","46367","20210520"
"RELIANCE","1985.4","1991.75","5271497","41.27","43336","20210520"
"PNB","37.5","37.18","339156585","33.26","41934","20210520"
"JINDALSTEL","401.05","404.55","35292844","27.45","39195","20210520"
"BHARTIARTL","520.65","523.54","13777903","53.46","38559","20210520"
"HDFCBANK","1432.8","1447.31","5342092","47.57","36782","20210520"
"ICICIBANK","618.6","625.27","13900762","40.23","34964","20210520"
"INFY","1339.3","1340.8","4490092","57.59","34668","20210520"
"CIPLA","924.2","919.71","12378690","30.13","34297","20210520"
"HINDALCO","385.2","387.15","30689219","27.9","33145","20210520"
"M&M","803.25","801.4","10092542","38.61","31231","20210520"
"ATGL","1335.8","1324.84","3580360","65.28","30962","20210520"
"HDFC","2445.0","2462.3","2551577","47.33","29737","20210520"
"HCLTECH","924.4","925.34","4753782","67.14","29533","20210520"
"BHEL","72.55","75.15","241049864","14.68","26587","20210520"
"KOTAKBANK","1708.2","1717.4","2598038","58.99","26318","20210520"
"SAIL","121.45","123.41","59942600","33.96","25120","20210520"
"BAJFINANCE","5588.75","5594.05","1488827","25.9","21571","20210520"
"IBULHSGFIN","209.25","206.03","78804626","13.23","21477","20210520"
"MARUTI","6737.85","6765.64","470476","44.17","14060","20210520"
"BANKBARODA","76.5","76.65","57767243","26.99","11952","20210520"
"TV18BRDCST","39.6","42.05","84360058","29.86","10593","20210520"
"MAXHEALTH","225.1","226.42","4868651","82.63","9109","20210520"
"MOTHERSUMI","238.9","239.35","12148975","29.21","8492","20210520"
"APOLLOHOSP","3219.95","3239.3","752076","32.63","7949","20210520"
"DMART","3026.6","3027.48","352477","56.92","6074","20210520"
"DALBHARAT","1814.65","1811.61","355141","88.47","5691","20210520"
"YESBANK","13.25","13.26","75911849","38.87","3913","20210520"
"BLUESTARCO","803.3","803.26","485096","93.37","3638","20210520"
"ULTRACEMCO","6573.85","6582.75","256088","21.39","3605","20210520"
"MUTHOOTFIN","1263.15","1277.67","1351888","19.44","3358","20210520"
"IDFCFIRSTB","55.15","55.45","17218573","26.77","2556","20210520"
"IDEA","8.4","8.4","67889823","41.47","2364","20210520"
"BAJAJFINSV","11227.9","11222.55","177897","9.38","1872","20210520"
"3IINFOTECH","8.7","8.74","68349600","29.68","1773","20210520"
"LALPATHLAB","2854.95","2839.75","287176","19.73","1609","20210520"
"EMAMILTD","499.95","503.52","345924","87.14","1517","20210520"
"RELAXO","1030.15","1027.58","1746924","7.79","1397","20210520"
"TRENT","811.6","816.86","556669","27.9","1268","20210520"
"BATAINDIA","1473.95","1469.23","443297","17.28","1125","20210520"
"VAKRANGEE","48.9","49.43","2453662","82.84","1004","20210520"
"TVSSRICHAK","1922.75","1922.51","35650","84.35","578","20210520"
"METROPOLIS","2295.1","2305.37","46589","47.9","514","20210520"
"SUNCLAYLTD","3101.05","3100.65","17778","91.68","505","20210520"
"NH","440.1","443.24","416281","24.12","445","20210520"
"JKCEMENT","2902.8","2892.76","26938","53.33","415","20210520"
"CAPACITE","203.0","202.97","122225","82.27","204","20210520"
"RAJRATAN","1018.95","1025.95","17434","86.58","154","20210520"
"SBIN","401.2","393.52","192810772","17.16","130195","20210521"
"ICICIBANK","642.45","636.26","23975898","39.7","60560","20210521"
"HDFCBANK","1497.3","1477.34","9670823","38.09","54416","20210521"
"AXISBANK","730.9","721.17","15883692","43.12","49390","20210521"
"ATGL","1338.7","1344.15","6674625","54.79","49158","20210521"
"INFY","1354.5","1351.75","4969733","66.26","44509","20210521"
"KOTAKBANK","1757.65","1741.29","4293112","52.48","39228","20210521"
"RELIANCE","2002.55","1999.87","4977555","38.37","38195","20210521"
"ADANIENT","1315.1","1315.58","8314215","32.06","35070","20210521"
"HDFC","2518.05","2499.81","2711607","49.89","33818","20210521"
"TCS","3080.5","3075.95","1685566","64.39","33383","20210521"
"ADANITRANS","1453.85","1453.85","4156347","54.52","32943","20210521"
"TATASTEEL","1113.1","1115.07","14104926","20.89","32862","20210521"
"HEROMOTOCO","2884.4","2872.33","1658538","67.23","32025","20210521"
"BANKBARODA","80.8","79.22","136879510","28.11","30476","20210521"
"INDUSINDBK","1016.0","1008.4","12591860","23.18","29429","20210521"
"ZEEL","190.7","193.89","36903604","34.41","24624","20210521"
"M&M","818.95","814.13","5721630","42.64","19862","20210521"
"PNB","38.05","37.97","178307284","28.76","19471","20210521"
"BAJFINANCE","5631.75","5642.74","1856966","18.23","19105","20210521"
"HFCL","49.1","48.7","107540579","25.71","13465","20210521"
"MARUTI","6814.65","6796.16","434363","41.41","12224","20210521"
"IDFCFIRSTB","57.25","56.46","52428351","40.88","12100","20210521"
"BHEL","72.2","72.69","63713770","20.44","9466","20210521"
"LIQUIDBEES","1000.0","1000.0","1008416","83.78","8448","20210521"
"MOTHERSUMI","245.45","244.97","12477007","26.91","8225","20210521"
"BAJAJFINSV","11265.15","11301.83","277521","24.86","7796","20210521"
"APOLLOHOSP","3247.75","3245.04","471439","46.38","7095","20210521"
"ULTRACEMCO","6637.6","6638.07","307027","34.75","7082","20210521"
"DMART","3034.15","3042.66","375397","47.05","5374","20210521"
"YESBANK","13.35","13.32","112270395","35.28","5276","20210521"
"IDEA","8.55","8.58","134046773","39.54","4547","20210521"
"SOUTHBANK","11.1","11.41","108245515","34.27","4233","20210521"
"PHOENIXLTD","732.65","732.97","561503","85.25","3508","20210521"
"LALPATHLAB","2830.9","2865.06","482846","20.13","2784","20210521"
"MUTHOOTFIN","1265.2","1267.24","579488","34.11","2505","20210521"
"BATAINDIA","1484.65","1490.66","938434","15.53","2172","20210521"
"JKCEMENT","2916.25","2944.54","109207","67.53","2171","20210521"
"RPOWER","7.15","7.13","62671887","42.32","1891","20210521"
"TRENT","826.85","821.58","806206","26.01","1722","20210521"
"RELAXO","1035.25","1046.6","846176","17.6","1558","20210521"
"NH","436.4","438.55","193096","68.72","581","20210521"
"METROPOLIS","2283.3","2312.91","47830","38.2","422","20210521"
"MCLEODRUSS","27.4","27.34","1580388","90.42","390","20210521"
"MATRIMONY","895.4","895.8","47199","83.85","354","20210521"
"CPSEETF","25.05","25.09","1640392","83.3","342","20210521"
"JSWISPL","50.9","50.9","600704","100.0","305","20210521"
"KOTAKBKETF","348.11","342.75","82997","82.62","235","20210521"
"EBBETF0430","1155.96","1156.27","20997","92.07","223","20210521"
"ANANTRAJ","58.1","58.1","334496","100.0","194","20210521"
"SBIN","412.05","411.75","142964052","28.91","170180","20210524"
"HDFCBANK","1509.95","1510.77","11073051","43.18","72230","20210524"
"TATASTEEL","1092.0","1093.18","18923842","20.81","43057","20210524"
"ICICIBANK","647.35","645.5","20323003","32.72","42927","20210524"
"ADANIENT","1306.8","1317.75","7913411","40.55","42287","20210524"
"BRITANNIA","3379.1","3389.05","1643611","69.88","38926","20210524"
"KOTAKBANK","1757.0","1757.75","3613907","60.14","38202","20210524"
"INFY","1348.05","1352.41","4225371","64.33","36761","20210524"
"ATGL","1324.2","1326.61","4487176","59.15","35209","20210524"
"HDFC","2540.9","2545.15","2655396","51.08","34522","20210524"
"AXISBANK","741.15","737.32","15716900","29.78","34506","20210524"
